"id","sheltercode","identichipnumber","animalname","animalage","sexname","speciesname","breedname","basecolour","intakeage","interactions","timeinsys","transferin","transferout","adopt","adopt_ct","foster","foster_ct","reclaim","reclaim_ct","return","return_ct","dead","intakedate"
"15801","C09115463","0A115D7358","Jadzia","9 years 2 months.","Female","Cat","Domestic Short Hair","Tortie",110,2,2723,0,0,1,1,0,0,0,0,0,0,0,2009-11-28
"15932","D09125594","0A11675477","Gonzo","10 years 0 months.","Male","Dog","German Shepherd Dog/Mix","Tan",120,2,2694,0,0,1,1,0,0,0,0,0,0,0,2009-12-08
"28859","D12082309","0A13253C7B","Maggie","6 years 8 months.","Female","Dog","Shep Mix/Siberian Husky","Various",80,2,1709,0,0,1,1,0,0,0,0,0,0,0,2012-08-10
"30812","C1301091","0A13403D4D","Pretty Girl","8 years 11 months.","Female","Cat","Domestic Short Hair","Dilute tortoiseshell",107,4,2596,0,0,1,1,1,1,0,0,1,1,0,2013-01-11
"31469","D1303720","981020007006095","Bonnie","5 years 11 months.","Female","Dog","Basenji/Mix","Brown and White",71,4,5,0,0,1,2,0,0,0,0,1,1,0,2013-03-26
"40705","R15061738","","Candy","5 years 6 months.","Female","House Rabbit","American Sable/American","Brown",66,2,663,0,1,0,0,0,0,0,0,0,0,0,2015-06-19
"40706","R15061739","","Charlotte","4 years 6 months.","Female","House Rabbit","American Sable/American","Brown",54,2,663,0,1,0,0,0,0,0,0,0,0,0,2015-06-19
"46238","D16103207","981020019070093","Tennessee","3 years 2 months.","Male","Dog","Heeler/Mix","Brown and Black",38,6,1229,0,0,1,1,1,2,0,0,1,2,0,2016-10-09
"46437","C16103406","981020017650993","Nova","12 years 3 months.","Female","Cat","Domestic Long Hair","Black",147,6,472,0,0,1,1,1,1,0,0,1,2,1,2016-10-26
"46693","D16113659","981020017897009","Baby","4 years 1 month.","Male","Dog","Pitbull","White",49,2,137,0,0,1,1,0,0,0,0,0,0,0,2016-11-21
"47120","C17011137","981020021072899","Vivian","5 years 0 months.","Female","Cat","Himalayan","Seal",60,4,1135,0,0,1,1,1,1,0,0,1,1,0,2017-01-11
