"id","date","interaction","location","type"
"15801",2009-11-28,"Moving","Adoptable Cat Glass Colony","intake"
"15932",2009-12-08,"Moving","Adoptable Dogs","intake"
"28859",2012-08-10,"Abandoned","Adoptable Dogs","intake"
"30812",2013-01-11,"Abandoned","Stray Cats","intake"
"31469",2013-03-26,"Incompatible with owner lifestyle","Stray Dogs Beta","intake"
"40705",2015-06-19,"Abandoned","Lobby","intake"
"40706",2015-06-19,"Abandoned","Lobby","intake"
"46238",2016-10-09,"Abandoned","Special Care Dogs","intake"
"46437",2016-10-26,"Abandoned","Stray Cats","intake"
"46693",2016-11-21,"Abandoned","Adoptable Dogs","intake"
"47120",2017-01-11,"Abandoned","Foster","intake"
"47146",2017-01-17,"Abandoned","Foster","intake"
"47156",2017-01-17,"Abandoned","Lobby","intake"
"47157",2017-01-17,"Abandoned","Lobby","intake"
"47198",2017-01-22,"Abandoned","Adoptable Cat Glass Colony","intake"
"47239",2017-01-27,"Abandoned","Foster","intake"
"47248",2017-01-27,"Abandoned","Foster","intake"
"47277",2017-01-31,"Abandoned","Adoptable Cat Glass Colony","intake"
"47290",2017-02-01,"Abandoned","Adoptable Cat Big Colony","intake"
"47319",2017-02-05,"Rabies Monitoring","Stray Dogs Theta","intake"
"47360",2017-02-11,"Abandoned","Office","intake"
"47395",2017-02-13,"Abandoned","Adoptable Cat Big Colony","intake"
"47402",2017-02-14,"Abandoned","Adoptable Dogs","intake"
"47414",2017-02-16,"Abandoned","Stray Dogs Beta","intake"
"47429",2017-02-18,"Abandoned","Office","intake"
"47432",2017-02-18,"Abandoned","Lobby","intake"
"47502",2017-02-27,"Marriage/Relationship split","Stray Dogs Beta","intake"
"47510",2017-02-28,"Abandoned","Adoptable Cat Big Colony","intake"
"47511",2017-02-28,"Abandoned","Adoptable Cat Small Colony","intake"
"47520",2017-03-02,"Abandoned","Adoptable Cat Big Colony","intake"
"47521",2017-03-02,"Abandoned","Adoptable Cat Kennels","intake"
"47538",2017-03-04,"Abandoned","Foster","intake"
"47539",2017-03-04,"Abandoned","Adoptable Cat Glass Colony","intake"
"47540",2017-03-04,"Abandoned","Adoptable Cat Glass Colony","intake"
"47558",2017-03-06,"Abandoned","Adoptable Dogs","intake"
"47562",2017-03-06,"Abandoned","Adoptable Cat Kennels","intake"
"47575",2017-03-07,"Moving","Adoptable Dogs","intake"
"47576",2017-03-07,"Abandoned","Adoptable Dogs","intake"
"47582",2017-03-07,"Abandoned","Stray Dogs Beta","intake"
"47591",2017-03-09,"Abandoned","Foster","intake"
"47595",2017-03-09,"Owner Deceased","Adoptable Cat Big Colony","intake"
"47613",2017-03-10,"Abandoned","Stray Dogs Beta","intake"
"47617",2017-03-10,"Abandoned","Adoptable Cat Kennels","intake"
"47627",2017-03-11,"Abandoned","Feline Nursery","intake"
"47628",2017-03-11,"Abandoned","Adoptable Cat Kennels","intake"
"47629",2017-03-11,"Abandoned","Adoptable Cat Kennels","intake"
"47630",2017-03-11,"Abandoned","Adoptable Cat Small Colony","intake"
"47631",2017-03-11,"Abandoned","Feline Nursery","intake"
