"id","intakedate","intakereason","location"
"15801",2009-11-28,"Moving","Adoptable Cat Glass Colony"
"15932",2009-12-08,"Moving","Adoptable Dogs"
"28859",2012-08-10,"Abandoned","Adoptable Dogs"
"30812",2013-01-11,"Abandoned","Stray Cats"
"31469",2013-03-26,"Incompatible with owner lifestyle","Stray Dogs Beta"
"40705",2015-06-19,"Abandoned","Lobby"
"40706",2015-06-19,"Abandoned","Lobby"
"46238",2016-10-09,"Abandoned","Special Care Dogs"
"46437",2016-10-26,"Abandoned","Stray Cats"
"46693",2016-11-21,"Abandoned","Adoptable Dogs"
"47120",2017-01-11,"Abandoned","Foster"
"47146",2017-01-17,"Abandoned","Foster"
"47156",2017-01-17,"Abandoned","Lobby"
"47157",2017-01-17,"Abandoned","Lobby"
"47198",2017-01-22,"Abandoned","Adoptable Cat Glass Colony"
"47239",2017-01-27,"Abandoned","Foster"
"47248",2017-01-27,"Abandoned","Foster"
"47277",2017-01-31,"Abandoned","Adoptable Cat Glass Colony"
"47290",2017-02-01,"Abandoned","Adoptable Cat Big Colony"
"47319",2017-02-05,"Rabies Monitoring","Stray Dogs Theta"
"47360",2017-02-11,"Abandoned","Office"
"47395",2017-02-13,"Abandoned","Adoptable Cat Big Colony"
"47402",2017-02-14,"Abandoned","Adoptable Dogs"
"47414",2017-02-16,"Abandoned","Stray Dogs Beta"
"47429",2017-02-18,"Abandoned","Office"
"47432",2017-02-18,"Abandoned","Lobby"
"47502",2017-02-27,"Marriage/Relationship split","Stray Dogs Beta"
"47510",2017-02-28,"Abandoned","Adoptable Cat Big Colony"
"47511",2017-02-28,"Abandoned","Adoptable Cat Small Colony"
"47520",2017-03-02,"Abandoned","Adoptable Cat Big Colony"
"47521",2017-03-02,"Abandoned","Adoptable Cat Kennels"
"47538",2017-03-04,"Abandoned","Foster"
"47539",2017-03-04,"Abandoned","Adoptable Cat Glass Colony"
"47540",2017-03-04,"Abandoned","Adoptable Cat Glass Colony"
"47558",2017-03-06,"Abandoned","Adoptable Dogs"
"47562",2017-03-06,"Abandoned","Adoptable Cat Kennels"
"47575",2017-03-07,"Moving","Adoptable Dogs"
"47576",2017-03-07,"Abandoned","Adoptable Dogs"
"47582",2017-03-07,"Abandoned","Stray Dogs Beta"
"47591",2017-03-09,"Abandoned","Foster"
"47595",2017-03-09,"Owner Deceased","Adoptable Cat Big Colony"
"47613",2017-03-10,"Abandoned","Stray Dogs Beta"
"47617",2017-03-10,"Abandoned","Adoptable Cat Kennels"
"47627",2017-03-11,"Abandoned","Feline Nursery"
"47628",2017-03-11,"Abandoned","Adoptable Cat Kennels"
"47629",2017-03-11,"Abandoned","Adoptable Cat Kennels"
"47630",2017-03-11,"Abandoned","Adoptable Cat Small Colony"
"47631",2017-03-11,"Abandoned","Feline Nursery"
"47632",2017-03-11,"Abandoned","Feline Nursery"
"47633",2017-03-11,"Abandoned","Feline Nursery"
"47634",2017-03-11,"Abandoned","Feline Nursery"
"47635",2017-03-11,"Abandoned","Feline Nursery"
"47636",2017-03-11,"Abandoned","Feline Nursery"
"47637",2017-03-11,"Abandoned","Feline Nursery"
"47638",2017-03-11,"Abandoned","Adoptable Cat Kennels"
"47639",2017-03-11,"Abandoned","Adoptable Dogs"
"47654",2017-03-14,"Abandoned","Foster"
"47659",2017-03-14,"Abandoned","Adoptable Cat Kennels"
"47661",2017-03-15,"Abandoned","Adoptable Cat Big Colony"
"47662",2017-03-15,"Abandoned","Adoptable Dogs"
"47665",2017-03-15,"Abandoned","Adoptable Dogs"
"47681",2017-03-18,"Abandoned","Stray Dogs Beta"
"47683",2017-03-18,"Abandoned","Adoptable Dogs"
"47684",2017-03-18,"Abandoned","Adoptable Cat Kennels"
"47685",2017-03-18,"Abandoned","Cat room B"
"47688",2017-03-18,"Abandoned","Adoptable Cat Big Colony"
"47695",2017-03-20,"Abandoned","Adoptable Dogs"
"47696",2017-03-20,"Abandoned","Adoptable Cat Kennels"
"47697",2017-03-21,"Abandoned","Adoptable Cat Big Colony"
"47698",2017-03-21,"Stray","Adoptable Cat Kennels"
"47701",2017-03-21,"","Stray Cats"
"47702",2017-03-21,"Abandoned","Adoptable Dogs"
"47703",2017-03-21,"Abandoned","Adoptable Cat Big Colony"
"47704",2017-03-21,"Abandoned","Adoptable Dogs"
"47707",2017-03-22,"Abandoned","Adoptable Cat Kennels"
"47708",2017-03-22,"Abandoned","Adoptable Cat Kennels"
"47710",2017-03-22,"Abandoned","Stray Dogs Theta"
"47712",2017-03-23,"Stray","Dog room C"
"47714",2017-03-23,"Abandoned","Adoptable Dogs"
"47715",2017-03-23,"Abandoned","Office"
"47717",2017-03-23,"Police Assist","Adoptable Dogs"
"47718",2017-03-23,"Abandoned","Adoptable Dogs"
"47721",2017-03-24,"Incompatible with owner lifestyle","Adoptable Dogs"
"47724",2017-03-24,"Abandoned","Lobby"
"47725",2017-03-24,"Abandoned","Lobby"
"47727",2017-03-24,"Abandoned","Adoptable Dogs"
"47728",2017-03-24,"Abandoned","Adoptable Dogs"
"47730",2017-03-24,"Abandoned","Adoptable Cat Kennels"
"47733",2017-03-24,"","Lobby"
"47735",2017-03-24,"Abandoned","Lobby"
"47736",2017-03-24,"Abandoned","Lobby"
"47737",2017-03-24,"Abandoned","Lobby"
"47738",2017-03-25,"Biting","Stray Dogs Theta"
"47740",2017-03-25,"Abandoned","Lobby"
"47741",2017-03-25,"Abandoned","Lobby"
"47742",2017-03-25,"Abandoned","Adoptable Dogs"
"47744",2017-03-25,"Abandoned","Adoptable Dogs"
"47747",2017-03-27,"Abandoned","Adoptable Dogs"
"47748",2017-03-27,"Abandoned","Adoptable Dogs"
"47749",2017-03-27,"Abandoned","Adoptable Dogs"
"47750",2017-03-27,"Abandoned","Stray Dogs Beta"
"47751",2017-03-27,"Abandoned","Adoptable Dogs"
"47752",2017-03-27,"Abandoned","Adoptable Dogs"
"47753",2017-03-27,"Abandoned","Dog room D"
"47754",2017-03-27,"Abandoned","Adoptable Dogs"
"47755",2017-03-27,"Abandoned","Adoptable Dogs"
"47756",2017-03-27,"Abandoned","Adoptable Dogs"
"47757",2017-03-27,"Abandoned","Adoptable Dogs"
"47759",2017-03-27,"Stray","Stray Dogs Alpha"
"47760",2017-03-27,"Abandoned","Adoptable Dogs"
"47762",2017-03-27,"Abandoned","Special Care Dogs"
"47763",2017-03-28,"Abandoned","Adoptable Cat Middle Colony"
"47764",2017-03-28,"Abandoned","Adoptable Dogs"
"47765",2017-03-28,"Abandoned","Stray Dogs Beta"
"47766",2017-03-28,"Abandoned","Stray Dogs Beta"
"47767",2017-03-28,"Abandoned","Stray Cats"
"47768",2017-03-28,"Abandoned","Stray Cats"
"47769",2017-03-28,"Abandoned","Adoptable Dogs"
"47770",2017-03-28,"Abandoned","Adoptable Dogs"
"47771",2017-03-28,"Abandoned","Adoptable Dogs"
"55297",2017-03-31,"Owner Died","Adoptable Cat Big Colony"
"55298",2017-03-31,"Stray","Adoptable Cat Kennels"
"55299",2017-03-31,"Stray","Adoptable Cat Big Colony"
"55300",2017-03-31,"TNR - Trap/Neuter/Release","Adoptable Cat Glass Colony"
"55301",2017-03-31,"Stray","Adoptable Cat Kennels"
"55302",2017-03-29,"Unable to Afford","Stray Dogs Alpha"
"55303",2017-03-31,"Unsuitable Accommodation","Adoptable Cat Big Colony"
"55304",2017-03-29,"Unable to Afford","Stray Dogs Alpha"
"55305",2017-03-29,"Unable to Afford","Stray Dogs Alpha"
"55307",2017-03-29,"Unable to Afford","Stray Dogs Alpha"
"55308",2017-03-31,"Unsuitable Accommodation","Stray Dogs Theta"
"55309",2017-03-31,"Incompatible with owner lifestyle","Office"
"55310",2017-03-31,"Incompatible with owner lifestyle","Office"
"55311",2017-03-31,"Incompatible with owner lifestyle","Office"
"55312",2017-03-31,"Incompatible with owner lifestyle","Office"
"55313",2017-03-31,"Incompatible with owner lifestyle","Office"
"55314",2017-03-31,"Incompatible with owner lifestyle","Lobby"
"55315",2017-03-31,"Incompatible with owner lifestyle","Office"
"55316",2017-03-31,"Incompatible with owner lifestyle","Lobby"
"55317",2017-03-31,"Incompatible with owner lifestyle","Office"
"55318",2017-03-31,"Incompatible with owner lifestyle","Office"
"55319",2017-03-31,"Incompatible with owner lifestyle","Office"
"55320",2017-03-31,"Incompatible with owner lifestyle","Office"
"55321",2017-03-31,"Incompatible with owner lifestyle","Office"
"55322",2017-03-30,"Stray","Dog room B"
"55323",2017-03-30,"Stray","Stray Dogs Beta"
"55324",2017-03-31,"Incompatible with owner lifestyle","Office"
"55325",2017-03-31,"Incompatible with owner lifestyle","Office"
"55326",2017-03-31,"Incompatible with owner lifestyle","Office"
"55327",2017-03-31,"Incompatible with owner lifestyle","Office"
"55328",2017-03-31,"Incompatible with owner lifestyle","Office"
"55329",2017-03-31,"Incompatible with owner lifestyle","Office"
"55330",2017-03-31,"Incompatible with owner lifestyle","Office"
"55331",2017-03-31,"Incompatible with owner lifestyle","Office"
"55332",2017-03-31,"Incompatible with owner lifestyle","Office"
"55333",2017-03-31,"Incompatible with owner lifestyle","Office"
"55334",2017-03-29,"Stray","Adoptable Dogs"
"55335",2017-03-31,"Stray","Veterinary office"
"55336",2017-03-31,"Stray","Adoptable Cat Middle Colony"
"55337",2017-03-29,"Stray","Adoptable Cat Glass Colony"
"55338",2017-03-31,"Stray","Adoptable Dogs"
"55339",2017-03-31,"Stray","Adoptable Dogs"
"55340",2017-04-01,"Incompatible with owner lifestyle","Lobby"
"55341",2017-04-01,"Incompatible with owner lifestyle","Lobby"
"55342",2017-04-01,"Incompatible with owner lifestyle","Lobby"
"55343",2017-04-01,"Incompatible with owner lifestyle","Lobby"
"55344",2017-04-01,"Incompatible with owner lifestyle","Lobby"
"55345",2017-04-01,"Incompatible with owner lifestyle","Lobby"
"55346",2017-04-01,"Incompatible with owner lifestyle","Lobby"
