"id","date","interaction","type","duration"
"15801",2009-11-28,"Moving","intake",2723
"15801",2017-05-13,"Adoption","move",NA
"15932",2009-12-08,"Moving","intake",2694
"15932",2017-04-24,"Adoption","move",NA
"28859",2012-08-10,"Abandoned","intake",1709
"28859",2017-04-15,"Adoption","move",NA
"30812",2013-01-11,"Abandoned","intake",1558
"30812",2017-04-18,"Foster","move",406
"30812",2018-05-29,"Adoption","move",0
"30812",2018-05-29,"Stray","return",632
"31469",2013-03-26,"Incompatible with owner lifestyle","intake",4
"31469",2013-03-30,"Adoption","move",1500
"31469",2017-05-08,"Incompatible with owner lifestyle","return",1
"31469",2017-05-09,"Adoption","move",NA
"40705",2015-06-19,"Abandoned","intake",663
"40705",2017-04-12,"Transfer","move",NA
"40706",2015-06-19,"Abandoned","intake",663
"40706",2017-04-12,"Transfer","move",NA
"46238",2016-10-09,"Abandoned","intake",48
"46238",2016-11-26,"Foster","move",239
"46238",2017-07-23,"Stray","return",17
"46238",2017-08-09,"Foster","move",189
"46238",2018-02-14,"Adoption","move",0
"46238",2018-02-14,"Stray","return",736
"46437",2016-10-26,"Abandoned","intake",150
"46437",2017-03-25,"Foster","move",13
"46437",2017-04-07,"Adoption","move",0
"46437",2017-04-07,"Stray","return",308
"46437",2018-02-09,"Incompatible with owner lifestyle","return",1
"46437",2018-02-10,"UU - untreatable, unmanageable health","dead",NA
"46693",2016-11-21,"Abandoned","intake",137
"46693",2017-04-07,"Adoption","move",NA
"47120",2017-01-11,"Abandoned","intake",7
"47120",2017-01-18,"Foster","move",115
"47120",2017-05-13,"Adoption","move",0
"47120",2017-05-13,"Stray","return",1013
"47146",2017-01-17,"Abandoned","intake",73
"47146",2017-03-31,"Foster","move",1
"47146",2017-04-01,"Adoption","move",0
"47146",2017-04-01,"Stray","return",1055
"47156",2017-01-17,"Abandoned","intake",69
"47156",2017-03-27,"Foster","move",11
"47156",2017-04-07,"Foster","move",0
"47156",2017-04-07,"Stray","return",0
"47156",2017-04-07,"Stray","return",35
"47156",2017-05-12,"Adoption","move",NA
"47157",2017-01-17,"Abandoned","intake",69
"47157",2017-03-27,"Foster","move",11
"47157",2017-04-07,"Stray","return",35
"47157",2017-05-12,"Adoption","move",NA
"47198",2017-01-22,"Abandoned","intake",12
"47198",2017-02-03,"Foster","move",111
"47198",2017-05-25,"Stray","return",28
"47198",2017-06-22,"Adoption","move",NA
"47239",2017-01-27,"Abandoned","intake",64
"47239",2017-04-01,"Adoption","move",NA
"47248",2017-01-27,"Abandoned","intake",19
"47248",2017-02-15,"Foster","move",107
"47248",2017-06-02,"Adoption","move",0
"47248",2017-06-02,"Stray","return",993
"47277",2017-01-31,"Abandoned","intake",64
"47277",2017-04-05,"Adoption","move",NA
"47290",2017-02-01,"Abandoned","intake",56
"47290",2017-03-29,"Foster","move",29
"47290",2017-04-27,"Stray","return",56
