"id","interaction","type","seq","date","date_end","time_int","duration"
"15801","Moving","intake",1,2009-11-28,2017-05-13,2009-11-28 UTC--2017-05-13 UTC,2723
"15801","Adoption","move",2,2017-05-13,2020-03-03,2017-05-13 UTC--2020-03-03 UTC,1025
"15932","Moving","intake",1,2009-12-08,2017-04-24,2009-12-08 UTC--2017-04-24 UTC,2694
"15932","Adoption","move",2,2017-04-24,2020-03-03,2017-04-24 UTC--2020-03-03 UTC,1044
"28859","Abandoned","intake",1,2012-08-10,2017-04-15,2012-08-10 UTC--2017-04-15 UTC,1709
"28859","Adoption","move",2,2017-04-15,2020-02-28,2017-04-15 UTC--2020-02-28 UTC,1049
"28859","Stray","return",3,2020-02-28,2020-02-29,2020-02-28 UTC--2020-02-29 UTC,1
"28859","Reclaimed","move",4,2020-02-29,2020-03-03,2020-02-29 UTC--2020-03-03 UTC,3
"30812","Abandoned","intake",1,2013-01-11,2017-04-18,2013-01-11 UTC--2017-04-18 UTC,1558
"30812","Foster","move",2,2017-04-18,2018-05-29,2017-04-18 UTC--2018-05-29 UTC,406
"30812","Adoption","move",3,2018-05-29,2018-05-29,2018-05-29 UTC--2018-05-29 UTC,0
"30812","Stray","return",4,2018-05-29,2020-03-03,2018-05-29 UTC--2020-03-03 UTC,644
"31469","Incompatible with owner lifestyle","intake",1,2013-03-26,2013-03-30,2013-03-26 UTC--2013-03-30 UTC,4
"31469","Adoption","move",2,2013-03-30,2017-05-08,2013-03-30 UTC--2017-05-08 UTC,1500
"31469","Incompatible with owner lifestyle","return",3,2017-05-08,2017-05-09,2017-05-08 UTC--2017-05-09 UTC,1
"31469","Adoption","move",4,2017-05-09,2020-03-03,2017-05-09 UTC--2020-03-03 UTC,1029
"40705","Abandoned","intake",1,2015-06-19,2017-04-12,2015-06-19 UTC--2017-04-12 UTC,663
"40705","Transfer","move",2,2017-04-12,2020-03-03,2017-04-12 UTC--2020-03-03 UTC,1056
"40706","Abandoned","intake",1,2015-06-19,2017-04-12,2015-06-19 UTC--2017-04-12 UTC,663
"40706","Transfer","move",2,2017-04-12,2020-03-03,2017-04-12 UTC--2020-03-03 UTC,1056
"46238","Abandoned","intake",1,2016-10-09,2016-11-26,2016-10-09 UTC--2016-11-26 UTC,48
"46238","Foster","move",2,2016-11-26,2017-07-23,2016-11-26 UTC--2017-07-23 UTC,239
"46238","Stray","return",3,2017-07-23,2017-08-09,2017-07-23 UTC--2017-08-09 UTC,17
"46238","Foster","move",4,2017-08-09,2018-02-14,2017-08-09 UTC--2018-02-14 UTC,189
"46238","Adoption","move",5,2018-02-14,2018-02-14,2018-02-14 UTC--2018-02-14 UTC,0
"46238","Stray","return",6,2018-02-14,2020-03-03,2018-02-14 UTC--2020-03-03 UTC,748
"46437","Abandoned","intake",1,2016-10-26,2017-03-25,2016-10-26 UTC--2017-03-25 UTC,150
"46437","Foster","move",2,2017-03-25,2017-04-07,2017-03-25 UTC--2017-04-07 UTC,13
"46437","Adoption","move",3,2017-04-07,2017-04-07,2017-04-07 UTC--2017-04-07 UTC,0
"46437","Stray","return",4,2017-04-07,2018-02-09,2017-04-07 UTC--2018-02-09 UTC,308
"46437","Incompatible with owner lifestyle","return",5,2018-02-09,2018-02-10,2018-02-09 UTC--2018-02-10 UTC,1
"46437","UU - untreatable, unmanageable health","dead",6,2018-02-10,2018-02-10,2018-02-10 UTC--2018-02-10 UTC,0
"46693","Abandoned","intake",1,2016-11-21,2017-04-07,2016-11-21 UTC--2017-04-07 UTC,137
"46693","Adoption","move",2,2017-04-07,2020-03-03,2017-04-07 UTC--2020-03-03 UTC,1061
"47120","Abandoned","intake",1,2017-01-11,2017-01-18,2017-01-11 UTC--2017-01-18 UTC,7
"47120","Foster","move",2,2017-01-18,2017-05-13,2017-01-18 UTC--2017-05-13 UTC,115
"47120","Adoption","move",3,2017-05-13,2017-05-13,2017-05-13 UTC--2017-05-13 UTC,0
"47120","Stray","return",4,2017-05-13,2020-03-03,2017-05-13 UTC--2020-03-03 UTC,1025
"47146","Abandoned","intake",1,2017-01-17,2017-03-31,2017-01-17 UTC--2017-03-31 UTC,73
"47146","Foster","move",2,2017-03-31,2017-04-01,2017-03-31 UTC--2017-04-01 UTC,1
"47146","Adoption","move",3,2017-04-01,2017-04-01,2017-04-01 UTC--2017-04-01 UTC,0
"47146","Stray","return",4,2017-04-01,2020-03-03,2017-04-01 UTC--2020-03-03 UTC,1067
"47156","Abandoned","intake",1,2017-01-17,2017-03-27,2017-01-17 UTC--2017-03-27 UTC,69
"47156","Foster","move",2,2017-03-27,2017-04-07,2017-03-27 UTC--2017-04-07 UTC,11
"47156","Foster","move",3,2017-04-07,2017-04-07,2017-04-07 UTC--2017-04-07 UTC,0
"47156","Stray","return",4,2017-04-07,2017-04-07,2017-04-07 UTC--2017-04-07 UTC,0
"47156","Stray","return",5,2017-04-07,2017-05-12,2017-04-07 UTC--2017-05-12 UTC,35
"47156","Adoption","move",6,2017-05-12,2020-03-03,2017-05-12 UTC--2020-03-03 UTC,1026
"47157","Abandoned","intake",1,2017-01-17,2017-03-27,2017-01-17 UTC--2017-03-27 UTC,69
"47157","Foster","move",2,2017-03-27,2017-04-07,2017-03-27 UTC--2017-04-07 UTC,11
"47157","Stray","return",3,2017-04-07,2017-05-12,2017-04-07 UTC--2017-05-12 UTC,35
"47157","Adoption","move",4,2017-05-12,2020-03-03,2017-05-12 UTC--2020-03-03 UTC,1026
"47198","Abandoned","intake",1,2017-01-22,2017-02-03,2017-01-22 UTC--2017-02-03 UTC,12
"47198","Foster","move",2,2017-02-03,2017-05-25,2017-02-03 UTC--2017-05-25 UTC,111
"47198","Stray","return",3,2017-05-25,2017-06-22,2017-05-25 UTC--2017-06-22 UTC,28
"47198","Adoption","move",4,2017-06-22,2020-03-03,2017-06-22 UTC--2020-03-03 UTC,985
"47239","Abandoned","intake",1,2017-01-27,2017-04-01,2017-01-27 UTC--2017-04-01 UTC,64
"47239","Adoption","move",2,2017-04-01,2020-03-03,2017-04-01 UTC--2020-03-03 UTC,1067
"47248","Abandoned","intake",1,2017-01-27,2017-02-15,2017-01-27 UTC--2017-02-15 UTC,19
"47248","Foster","move",2,2017-02-15,2017-06-02,2017-02-15 UTC--2017-06-02 UTC,107
"47248","Adoption","move",3,2017-06-02,2017-06-02,2017-06-02 UTC--2017-06-02 UTC,0
"47248","Stray","return",4,2017-06-02,2020-03-03,2017-06-02 UTC--2020-03-03 UTC,1005
"47277","Abandoned","intake",1,2017-01-31,2017-04-05,2017-01-31 UTC--2017-04-05 UTC,64
"47277","Adoption","move",2,2017-04-05,2020-03-03,2017-04-05 UTC--2020-03-03 UTC,1063
"47290","Abandoned","intake",1,2017-02-01,2017-03-29,2017-02-01 UTC--2017-03-29 UTC,56
"47290","Foster","move",2,2017-03-29,2017-04-27,2017-03-29 UTC--2017-04-27 UTC,29
"47290","Stray","return",3,2017-04-27,2017-06-22,2017-04-27 UTC--2017-06-22 UTC,56
"47290","Adoption","move",4,2017-06-22,2020-03-03,2017-06-22 UTC--2020-03-03 UTC,985
"47319","Rabies Monitoring","intake",1,2017-02-05,2017-04-05,2017-02-05 UTC--2017-04-05 UTC,59
"47319","Reclaimed","move",2,2017-04-05,2020-03-03,2017-04-05 UTC--2020-03-03 UTC,1063
"47360","Abandoned","intake",1,2017-02-11,2017-03-07,2017-02-11 UTC--2017-03-07 UTC,24
"47360","Foster","move",2,2017-03-07,2017-04-22,2017-03-07 UTC--2017-04-22 UTC,46
"47360","Stray","return",3,2017-04-22,2017-04-25,2017-04-22 UTC--2017-04-25 UTC,3
"47360","Foster","move",4,2017-04-25,2017-06-11,2017-04-25 UTC--2017-06-11 UTC,47
"47360","Stray","return",5,2017-06-11,2017-06-12,2017-06-11 UTC--2017-06-12 UTC,1
"47360","Foster","move",6,2017-06-12,2017-06-13,2017-06-12 UTC--2017-06-13 UTC,1
"47360","Stray","return",7,2017-06-13,2017-06-13,2017-06-13 UTC--2017-06-13 UTC,0
"47360","UU - untreatable, unmanageable health","dead",8,2017-06-13,2017-06-13,2017-06-13 UTC--2017-06-13 UTC,0
"47395","Abandoned","intake",1,2017-02-13,2017-04-11,2017-02-13 UTC--2017-04-11 UTC,57
"47395","Adoption","move",2,2017-04-11,2020-03-03,2017-04-11 UTC--2020-03-03 UTC,1057
"47402","Abandoned","intake",1,2017-02-14,2017-03-21,2017-02-14 UTC--2017-03-21 UTC,35
"47402","Foster","move",2,2017-03-21,2017-04-09,2017-03-21 UTC--2017-04-09 UTC,19
"47402","Stray","return",3,2017-04-09,2017-04-10,2017-04-09 UTC--2017-04-10 UTC,1
"47402","Foster","move",4,2017-04-10,2017-05-03,2017-04-10 UTC--2017-05-03 UTC,23
"47402","Stray","return",5,2017-05-03,2017-05-05,2017-05-03 UTC--2017-05-05 UTC,2
"47402","Adoption","move",6,2017-05-05,2020-03-03,2017-05-05 UTC--2020-03-03 UTC,1033
"47414","Abandoned","intake",1,2017-02-16,2017-04-15,2017-02-16 UTC--2017-04-15 UTC,58
"47414","Adoption","move",2,2017-04-15,2017-07-12,2017-04-15 UTC--2017-07-12 UTC,88
"47414","Rabies Monitoring","return",3,2017-07-12,2017-07-22,2017-07-12 UTC--2017-07-22 UTC,10
"47414","Reclaimed","move",4,2017-07-22,2017-08-22,2017-07-22 UTC--2017-08-22 UTC,31
"47414","Rabies Monitoring","return",5,2017-08-22,2017-09-02,2017-08-22 UTC--2017-09-02 UTC,11
"47414","Reclaimed","move",6,2017-09-02,2020-03-03,2017-09-02 UTC--2020-03-03 UTC,913
"47429","Abandoned","intake",1,2017-02-18,2017-03-05,2017-02-18 UTC--2017-03-05 UTC,15
"47429","Foster","move",2,2017-03-05,2017-04-26,2017-03-05 UTC--2017-04-26 UTC,52
"47429","Adoption","move",3,2017-04-26,2017-04-26,2017-04-26 UTC--2017-04-26 UTC,0
"47429","Stray","return",4,2017-04-26,2020-03-03,2017-04-26 UTC--2020-03-03 UTC,1042
"47432","Abandoned","intake",1,2017-02-18,2017-03-30,2017-02-18 UTC--2017-03-30 UTC,40
"47432","Foster","move",2,2017-03-30,2017-04-17,2017-03-30 UTC--2017-04-17 UTC,18
"47432","Stray","return",3,2017-04-17,2017-05-01,2017-04-17 UTC--2017-05-01 UTC,14
"47432","Adoption","move",4,2017-05-01,2020-03-03,2017-05-01 UTC--2020-03-03 UTC,1037
"47502","Marriage/Relationship split","intake",1,2017-02-27,2017-04-08,2017-02-27 UTC--2017-04-08 UTC,40
"47502","Adoption","move",2,2017-04-08,2017-05-05,2017-04-08 UTC--2017-05-05 UTC,27
"47502","Marriage/Relationship split","return",3,2017-05-05,2017-06-01,2017-05-05 UTC--2017-06-01 UTC,27
"47502","Adoption","move",4,2017-06-01,2020-03-03,2017-06-01 UTC--2020-03-03 UTC,1006
"47510","Abandoned","intake",1,2017-02-28,2017-04-02,2017-02-28 UTC--2017-04-02 UTC,33
"47510","Adoption","move",2,2017-04-02,2020-03-03,2017-04-02 UTC--2020-03-03 UTC,1066
"47511","Abandoned","intake",1,2017-02-28,2017-04-01,2017-02-28 UTC--2017-04-01 UTC,32
"47511","Adoption","move",2,2017-04-01,2020-03-03,2017-04-01 UTC--2020-03-03 UTC,1067
"47520","Abandoned","intake",1,2017-03-02,2017-04-04,2017-03-02 UTC--2017-04-04 UTC,33
"47520","Adoption","move",2,2017-04-04,2020-03-03,2017-04-04 UTC--2020-03-03 UTC,1064
"47521","Abandoned","intake",1,2017-03-02,2017-04-07,2017-03-02 UTC--2017-04-07 UTC,36
"47521","Adoption","move",2,2017-04-07,2020-03-03,2017-04-07 UTC--2020-03-03 UTC,1061
"47538","Abandoned","intake",1,2017-03-04,2017-04-03,2017-03-04 UTC--2017-04-03 UTC,30
"47538","Adoption","move",2,2017-04-03,2020-03-03,2017-04-03 UTC--2020-03-03 UTC,1065
"47539","Abandoned","intake",1,2017-03-04,2017-04-01,2017-03-04 UTC--2017-04-01 UTC,28
"47539","Adoption","move",2,2017-04-01,2020-03-03,2017-04-01 UTC--2020-03-03 UTC,1067
"47540","Abandoned","intake",1,2017-03-04,2017-04-01,2017-03-04 UTC--2017-04-01 UTC,28
"47540","Adoption","move",2,2017-04-01,2020-03-03,2017-04-01 UTC--2020-03-03 UTC,1067
"47558","Abandoned","intake",1,2017-03-06,2017-03-29,2017-03-06 UTC--2017-03-29 UTC,23
"47558","Adoption","move",2,2017-03-29,2017-04-04,2017-03-29 UTC--2017-04-04 UTC,6
"47558","Incompatible with owner lifestyle","return",3,2017-04-04,2017-04-12,2017-04-04 UTC--2017-04-12 UTC,8
"47558","Adoption","move",4,2017-04-12,2020-03-03,2017-04-12 UTC--2020-03-03 UTC,1056
"47562","Abandoned","intake",1,2017-03-06,2017-03-31,2017-03-06 UTC--2017-03-31 UTC,25
"47562","Adoption","move",2,2017-03-31,2020-03-03,2017-03-31 UTC--2020-03-03 UTC,1068
"47575","Moving","intake",1,2017-03-07,2017-03-10,2017-03-07 UTC--2017-03-10 UTC,3
"47575","Foster","move",2,2017-03-10,2017-04-15,2017-03-10 UTC--2017-04-15 UTC,36
"47575","Adoption","move",3,2017-04-15,2017-04-15,2017-04-15 UTC--2017-04-15 UTC,0
"47575","Stray","return",4,2017-04-15,2017-05-12,2017-04-15 UTC--2017-05-12 UTC,27
"47575","Foster","move",5,2017-05-12,2017-05-12,2017-05-12 UTC--2017-05-12 UTC,0
"47575","Incompatible with owner lifestyle","return",6,2017-05-12,2017-05-15,2017-05-12 UTC--2017-05-15 UTC,3
"47575","Stray","return",7,2017-05-15,2017-05-16,2017-05-15 UTC--2017-05-16 UTC,1
"47575","Adoption","move",8,2017-05-16,2017-12-27,2017-05-16 UTC--2017-12-27 UTC,225
"47575","Moving","return",9,2017-12-27,2017-12-30,2017-12-27 UTC--2017-12-30 UTC,3
"47575","Adoption","move",10,2017-12-30,2018-10-05,2017-12-30 UTC--2018-10-05 UTC,279
"47575","Landlord issues","return",11,2018-10-05,2018-10-15,2018-10-05 UTC--2018-10-15 UTC,10
"47575","Adoption","move",12,2018-10-15,2020-03-03,2018-10-15 UTC--2020-03-03 UTC,505
"47576","Abandoned","intake",1,2017-03-07,2017-06-05,2017-03-07 UTC--2017-06-05 UTC,90
"47576","Adoption","move",2,2017-06-05,2020-03-03,2017-06-05 UTC--2020-03-03 UTC,1002
"47582","Abandoned","intake",1,2017-03-07,2017-04-25,2017-03-07 UTC--2017-04-25 UTC,49
"47582","Adoption","move",2,2017-04-25,2020-03-03,2017-04-25 UTC--2020-03-03 UTC,1043
"47591","Abandoned","intake",1,2017-03-09,2017-03-16,2017-03-09 UTC--2017-03-16 UTC,7
"47591","Foster","move",2,2017-03-16,2017-05-22,2017-03-16 UTC--2017-05-22 UTC,67
"47591","Adoption","move",3,2017-05-22,2017-05-22,2017-05-22 UTC--2017-05-22 UTC,0
"47591","Stray","return",4,2017-05-22,2020-03-03,2017-05-22 UTC--2020-03-03 UTC,1016
"47595","Owner Deceased","intake",1,2017-03-09,2017-06-16,2017-03-09 UTC--2017-06-16 UTC,99
"47595","Adoption","move",2,2017-06-16,2020-03-03,2017-06-16 UTC--2020-03-03 UTC,991
"47613","Abandoned","intake",1,2017-03-10,2017-04-02,2017-03-10 UTC--2017-04-02 UTC,23
"47613","Adoption","move",2,2017-04-02,2017-09-05,2017-04-02 UTC--2017-09-05 UTC,156
"47613","Reclaimed","move",3,2017-09-05,2017-09-05,2017-09-05 UTC--2017-09-05 UTC,0
"47613","Stray","return",4,2017-09-05,2017-09-05,2017-09-05 UTC--2017-09-05 UTC,0
"47613","Incompatible with owner lifestyle","return",5,2017-09-05,2017-09-06,2017-09-05 UTC--2017-09-06 UTC,1
"47613","Adoption","move",6,2017-09-06,2020-03-03,2017-09-06 UTC--2020-03-03 UTC,909
"47617","Abandoned","intake",1,2017-03-10,2017-04-07,2017-03-10 UTC--2017-04-07 UTC,28
"47617","Adoption","move",2,2017-04-07,2020-03-03,2017-04-07 UTC--2020-03-03 UTC,1061
"47627","Abandoned","intake",1,2017-03-11,2017-04-06,2017-03-11 UTC--2017-04-06 UTC,26
"47627","Foster","move",2,2017-04-06,2017-05-10,2017-04-06 UTC--2017-05-10 UTC,34
"47627","Stray","return",3,2017-05-10,2017-05-14,2017-05-10 UTC--2017-05-14 UTC,4
"47627","Adoption","move",4,2017-05-14,2020-03-03,2017-05-14 UTC--2020-03-03 UTC,1024
"47628","Abandoned","intake",1,2017-03-11,2017-04-06,2017-03-11 UTC--2017-04-06 UTC,26
"47628","Foster","move",2,2017-04-06,2017-05-17,2017-04-06 UTC--2017-05-17 UTC,41
"47628","Stray","return",3,2017-05-17,2017-05-18,2017-05-17 UTC--2017-05-18 UTC,1
"47628","Adoption","move",4,2017-05-18,2020-03-03,2017-05-18 UTC--2020-03-03 UTC,1020
"47629","Abandoned","intake",1,2017-03-11,2017-04-06,2017-03-11 UTC--2017-04-06 UTC,26
"47629","Foster","move",2,2017-04-06,2017-05-17,2017-04-06 UTC--2017-05-17 UTC,41
"47629","Stray","return",3,2017-05-17,2017-05-18,2017-05-17 UTC--2017-05-18 UTC,1
"47629","Adoption","move",4,2017-05-18,2020-03-03,2017-05-18 UTC--2020-03-03 UTC,1020
"47630","Abandoned","intake",1,2017-03-11,2017-04-06,2017-03-11 UTC--2017-04-06 UTC,26
"47630","Foster","move",2,2017-04-06,2017-04-18,2017-04-06 UTC--2017-04-18 UTC,12
"47630","Foster","move",3,2017-04-18,2017-04-18,2017-04-18 UTC--2017-04-18 UTC,0
"47630","Stray","return",4,2017-04-18,2017-05-10,2017-04-18 UTC--2017-05-10 UTC,22
"47630","Stray","return",5,2017-05-10,2017-05-16,2017-05-10 UTC--2017-05-16 UTC,6
"47630","Foster","move",6,2017-05-16,2017-06-15,2017-05-16 UTC--2017-06-15 UTC,30
"47630","Adoption","move",7,2017-06-15,2017-06-15,2017-06-15 UTC--2017-06-15 UTC,0
"47630","Stray","return",8,2017-06-15,2020-03-03,2017-06-15 UTC--2020-03-03 UTC,992
"47631","Abandoned","intake",1,2017-03-11,2017-04-06,2017-03-11 UTC--2017-04-06 UTC,26
"47631","Foster","move",2,2017-04-06,2017-04-18,2017-04-06 UTC--2017-04-18 UTC,12
"47631","Foster","move",3,2017-04-18,2017-04-18,2017-04-18 UTC--2017-04-18 UTC,0
"47631","Stray","return",4,2017-04-18,2017-05-10,2017-04-18 UTC--2017-05-10 UTC,22
"47631","Stray","return",5,2017-05-10,2017-05-11,2017-05-10 UTC--2017-05-11 UTC,1
"47631","Adoption","move",6,2017-05-11,2020-03-03,2017-05-11 UTC--2020-03-03 UTC,1027
"47632","Abandoned","intake",1,2017-03-11,2017-04-06,2017-03-11 UTC--2017-04-06 UTC,26
"47632","Foster","move",2,2017-04-06,2017-04-18,2017-04-06 UTC--2017-04-18 UTC,12
"47632","Foster","move",3,2017-04-18,2017-04-18,2017-04-18 UTC--2017-04-18 UTC,0
"47632","Stray","return",4,2017-04-18,2017-05-10,2017-04-18 UTC--2017-05-10 UTC,22
"47632","Stray","return",5,2017-05-10,2017-05-11,2017-05-10 UTC--2017-05-11 UTC,1
"47632","Adoption","move",6,2017-05-11,2020-03-03,2017-05-11 UTC--2020-03-03 UTC,1027
"47633","Abandoned","intake",1,2017-03-11,2017-04-06,2017-03-11 UTC--2017-04-06 UTC,26
"47633","Foster","move",2,2017-04-06,2017-05-11,2017-04-06 UTC--2017-05-11 UTC,35
"47633","Stray","return",3,2017-05-11,2017-05-16,2017-05-11 UTC--2017-05-16 UTC,5
"47633","Adoption","move",4,2017-05-16,2020-03-03,2017-05-16 UTC--2020-03-03 UTC,1022
"47634","Abandoned","intake",1,2017-03-11,2017-04-06,2017-03-11 UTC--2017-04-06 UTC,26
"47634","Foster","move",2,2017-04-06,2017-05-02,2017-04-06 UTC--2017-05-02 UTC,26
"47634","Stray","return",3,2017-05-02,2017-05-04,2017-05-02 UTC--2017-05-04 UTC,2
"47634","Adoption","move",4,2017-05-04,2020-03-03,2017-05-04 UTC--2020-03-03 UTC,1034
"47635","Abandoned","intake",1,2017-03-11,2017-04-06,2017-03-11 UTC--2017-04-06 UTC,26
"47635","Foster","move",2,2017-04-06,2017-05-02,2017-04-06 UTC--2017-05-02 UTC,26
"47635","Stray","return",3,2017-05-02,2017-05-07,2017-05-02 UTC--2017-05-07 UTC,5
"47635","Adoption","move",4,2017-05-07,2020-03-03,2017-05-07 UTC--2020-03-03 UTC,1031
"47636","Abandoned","intake",1,2017-03-11,2017-04-06,2017-03-11 UTC--2017-04-06 UTC,26
"47636","Foster","move",2,2017-04-06,2017-05-02,2017-04-06 UTC--2017-05-02 UTC,26
"47636","Stray","return",3,2017-05-02,2017-05-04,2017-05-02 UTC--2017-05-04 UTC,2
"47636","Adoption","move",4,2017-05-04,2020-03-03,2017-05-04 UTC--2020-03-03 UTC,1034
"47637","Abandoned","intake",1,2017-03-11,2017-04-06,2017-03-11 UTC--2017-04-06 UTC,26
"47637","Foster","move",2,2017-04-06,2017-05-02,2017-04-06 UTC--2017-05-02 UTC,26
"47637","Stray","return",3,2017-05-02,2017-05-07,2017-05-02 UTC--2017-05-07 UTC,5
"47637","Adoption","move",4,2017-05-07,2020-03-03,2017-05-07 UTC--2020-03-03 UTC,1031
"47638","Abandoned","intake",1,2017-03-11,2017-04-06,2017-03-11 UTC--2017-04-06 UTC,26
"47638","Foster","move",2,2017-04-06,2017-04-24,2017-04-06 UTC--2017-04-24 UTC,18
"47638","Stray","return",3,2017-04-24,2017-05-06,2017-04-24 UTC--2017-05-06 UTC,12
"47638","Adoption","move",4,2017-05-06,2020-03-03,2017-05-06 UTC--2020-03-03 UTC,1032
"47639","Abandoned","intake",1,2017-03-11,2017-03-31,2017-03-11 UTC--2017-03-31 UTC,20
"47639","Adoption","move",2,2017-03-31,2017-04-01,2017-03-31 UTC--2017-04-01 UTC,1
