"id","intakedate","movementdate","movementtype"
"15801",2009-11-28,2017-05-13,"Adoption"
"15932",2009-12-08,2017-04-24,"Adoption"
"28859",2012-08-10,2017-04-15,"Adoption"
"30812",2013-01-11,2017-04-18,"Foster"
"30812",2013-01-11,2018-05-29,"Adoption"
"31469",2013-03-26,2013-03-30,"Adoption"
"31469",2013-03-26,2017-05-09,"Adoption"
"40705",2015-06-19,2017-04-12,"Transfer"
"40706",2015-06-19,2017-04-12,"Transfer"
"46238",2016-10-09,2016-11-26,"Foster"
"46238",2016-10-09,2017-08-09,"Foster"
"46238",2016-10-09,2018-02-14,"Adoption"
"46437",2016-10-26,2017-03-25,"Foster"
"46437",2016-10-26,2017-04-07,"Adoption"
"46693",2016-11-21,2017-04-07,"Adoption"
"47120",2017-01-11,2017-01-18,"Foster"
"47120",2017-01-11,2017-05-13,"Adoption"
"47146",2017-01-17,2017-03-31,"Foster"
"47146",2017-01-17,2017-04-01,"Adoption"
"47156",2017-01-17,2017-03-27,"Foster"
"47156",2017-01-17,2017-04-07,"Foster"
"47156",2017-01-17,2017-05-12,"Adoption"
"47157",2017-01-17,2017-03-27,"Foster"
"47157",2017-01-17,2017-05-12,"Adoption"
"47198",2017-01-22,2017-02-03,"Foster"
"47198",2017-01-22,2017-06-22,"Adoption"
"47239",2017-01-27,2017-04-01,"Adoption"
"47248",2017-01-27,2017-02-15,"Foster"
"47248",2017-01-27,2017-06-02,"Adoption"
"47277",2017-01-31,2017-04-05,"Adoption"
"47290",2017-02-01,2017-03-29,"Foster"
"47290",2017-02-01,2017-06-22,"Adoption"
"47319",2017-02-05,2017-04-05,"Reclaimed"
"47360",2017-02-11,2017-03-07,"Foster"
"47360",2017-02-11,2017-04-25,"Foster"
"47360",2017-02-11,2017-06-12,"Foster"
"47395",2017-02-13,2017-04-11,"Adoption"
"47402",2017-02-14,2017-03-21,"Foster"
"47402",2017-02-14,2017-04-10,"Foster"
"47402",2017-02-14,2017-05-05,"Adoption"
"47414",2017-02-16,2017-04-15,"Adoption"
"47414",2017-02-16,2017-07-22,"Reclaimed"
"47414",2017-02-16,2017-09-02,"Reclaimed"
"47429",2017-02-18,2017-03-05,"Foster"
"47429",2017-02-18,2017-04-26,"Adoption"
"47432",2017-02-18,2017-03-30,"Foster"
"47432",2017-02-18,2017-05-01,"Adoption"
"47502",2017-02-27,2017-04-08,"Adoption"
"47502",2017-02-27,2017-06-01,"Adoption"
"47510",2017-02-28,2017-04-02,"Adoption"
"47511",2017-02-28,2017-04-01,"Adoption"
"47520",2017-03-02,2017-04-04,"Adoption"
"47521",2017-03-02,2017-04-07,"Adoption"
"47538",2017-03-04,2017-04-03,"Adoption"
"47539",2017-03-04,2017-04-01,"Adoption"
"47540",2017-03-04,2017-04-01,"Adoption"
"47558",2017-03-06,2017-03-29,"Adoption"
"47558",2017-03-06,2017-04-12,"Adoption"
"47562",2017-03-06,2017-03-31,"Adoption"
"47575",2017-03-07,2017-03-10,"Foster"
"47575",2017-03-07,2017-04-15,"Adoption"
"47575",2017-03-07,2017-05-12,"Foster"
"47575",2017-03-07,2017-05-16,"Adoption"
"47575",2017-03-07,2017-12-30,"Adoption"
"47575",2017-03-07,2018-10-15,"Adoption"
"47576",2017-03-07,2017-06-05,"Adoption"
"47582",2017-03-07,2017-04-25,"Adoption"
"47591",2017-03-09,2017-03-16,"Foster"
"47591",2017-03-09,2017-05-22,"Adoption"
"47595",2017-03-09,2017-06-16,"Adoption"
"47613",2017-03-10,2017-04-02,"Adoption"
"47613",2017-03-10,2017-09-05,"Reclaimed"
"47613",2017-03-10,2017-09-06,"Adoption"
"47617",2017-03-10,2017-04-07,"Adoption"
"47627",2017-03-11,2017-04-06,"Foster"
"47627",2017-03-11,2017-05-14,"Adoption"
"47628",2017-03-11,2017-04-06,"Foster"
"47628",2017-03-11,2017-05-18,"Adoption"
"47629",2017-03-11,2017-04-06,"Foster"
"47629",2017-03-11,2017-05-18,"Adoption"
"47630",2017-03-11,2017-04-06,"Foster"
"47630",2017-03-11,2017-04-18,"Foster"
"47630",2017-03-11,2017-05-16,"Foster"
"47630",2017-03-11,2017-06-15,"Adoption"
"47631",2017-03-11,2017-04-06,"Foster"
"47631",2017-03-11,2017-04-18,"Foster"
"47631",2017-03-11,2017-05-11,"Adoption"
"47632",2017-03-11,2017-04-06,"Foster"
