"id","date","interaction","type"
"15801",2017-05-13,"Adoption","move"
"15932",2017-04-24,"Adoption","move"
"28859",2017-04-15,"Adoption","move"
"28859",2020-02-29,"Reclaimed","move"
"30812",2017-04-18,"Foster","move"
"30812",2018-05-29,"Adoption","move"
"31469",2013-03-30,"Adoption","move"
"31469",2017-05-09,"Adoption","move"
"40705",2017-04-12,"Transfer","move"
"40706",2017-04-12,"Transfer","move"
"46238",2016-11-26,"Foster","move"
"46238",2017-08-09,"Foster","move"
"46238",2018-02-14,"Adoption","move"
"46437",2017-03-25,"Foster","move"
"46437",2017-04-07,"Adoption","move"
"46693",2017-04-07,"Adoption","move"
"47120",2017-01-18,"Foster","move"
"47120",2017-05-13,"Adoption","move"
"47146",2017-03-31,"Foster","move"
"47146",2017-04-01,"Adoption","move"
"47156",2017-03-27,"Foster","move"
"47156",2017-04-07,"Foster","move"
"47156",2017-05-12,"Adoption","move"
"47157",2017-03-27,"Foster","move"
"47157",2017-05-12,"Adoption","move"
"47198",2017-02-03,"Foster","move"
"47198",2017-06-22,"Adoption","move"
"47239",2017-04-01,"Adoption","move"
"47248",2017-02-15,"Foster","move"
"47248",2017-06-02,"Adoption","move"
"47277",2017-04-05,"Adoption","move"
"47290",2017-03-29,"Foster","move"
"47290",2017-06-22,"Adoption","move"
"47319",2017-04-05,"Reclaimed","move"
"47360",2017-03-07,"Foster","move"
"47360",2017-04-25,"Foster","move"
"47360",2017-06-12,"Foster","move"
"47395",2017-04-11,"Adoption","move"
"47402",2017-03-21,"Foster","move"
"47402",2017-04-10,"Foster","move"
"47402",2017-05-05,"Adoption","move"
"47414",2017-04-15,"Adoption","move"
"47414",2017-07-22,"Reclaimed","move"
"47414",2017-09-02,"Reclaimed","move"
"47429",2017-03-05,"Foster","move"
"47429",2017-04-26,"Adoption","move"
"47432",2017-03-30,"Foster","move"
"47432",2017-05-01,"Adoption","move"
"47502",2017-04-08,"Adoption","move"
"47502",2017-06-01,"Adoption","move"
"47510",2017-04-02,"Adoption","move"
"47511",2017-04-01,"Adoption","move"
"47520",2017-04-04,"Adoption","move"
"47521",2017-04-07,"Adoption","move"
"47538",2017-04-03,"Adoption","move"
"47539",2017-04-01,"Adoption","move"
"47540",2017-04-01,"Adoption","move"
"47558",2017-03-29,"Adoption","move"
"47558",2017-04-12,"Adoption","move"
"47562",2017-03-31,"Adoption","move"
"47575",2017-03-10,"Foster","move"
"47575",2017-04-15,"Adoption","move"
"47575",2017-05-12,"Foster","move"
"47575",2017-05-16,"Adoption","move"
"47575",2017-12-30,"Adoption","move"
"47575",2018-10-15,"Adoption","move"
"47576",2017-06-05,"Adoption","move"
"47582",2017-04-25,"Adoption","move"
"47591",2017-03-16,"Foster","move"
"47591",2017-05-22,"Adoption","move"
"47595",2017-06-16,"Adoption","move"
"47613",2017-04-02,"Adoption","move"
"47613",2017-09-05,"Reclaimed","move"
"47613",2017-09-06,"Adoption","move"
"47617",2017-04-07,"Adoption","move"
"47627",2017-04-06,"Foster","move"
"47627",2017-05-14,"Adoption","move"
"47628",2017-04-06,"Foster","move"
"47628",2017-05-18,"Adoption","move"
"47629",2017-04-06,"Foster","move"
"47629",2017-05-18,"Adoption","move"
"47630",2017-04-06,"Foster","move"
"47630",2017-04-18,"Foster","move"
"47630",2017-05-16,"Foster","move"
"47630",2017-06-15,"Adoption","move"
"47631",2017-04-06,"Foster","move"
"47631",2017-04-18,"Foster","move"
"47631",2017-05-11,"Adoption","move"
"47632",2017-04-06,"Foster","move"
"47632",2017-04-18,"Foster","move"
"47632",2017-05-11,"Adoption","move"
"47633",2017-04-06,"Foster","move"
"47633",2017-05-16,"Adoption","move"
"47634",2017-04-06,"Foster","move"
"47634",2017-05-04,"Adoption","move"
"47635",2017-04-06,"Foster","move"
"47635",2017-05-07,"Adoption","move"
"47636",2017-04-06,"Foster","move"
"47636",2017-05-04,"Adoption","move"
"47637",2017-04-06,"Foster","move"
"47637",2017-05-07,"Adoption","move"
"47638",2017-04-06,"Foster","move"
"47638",2017-05-06,"Adoption","move"
"47639",2017-03-31,"Adoption","move"
"47639",2017-04-02,"Adoption","move"
"47639",2019-03-22,"Adoption","move"
"47639",2019-05-15,"Foster","move"
"47639",2019-06-12,"Adoption","move"
"47654",2017-04-04,"Adoption","move"
"47659",2017-04-07,"Adoption","move"
"47661",2017-04-26,"Adoption","move"
"47662",2017-04-01,"Adoption","move"
"47665",2017-04-08,"Adoption","move"
"47665",2017-06-09,"Adoption","move"
"47681",2017-04-12,"Transfer","move"
"47683",2017-04-12,"Adoption","move"
"47684",2017-04-26,"Foster","move"
"47684",2017-07-27,"Foster","move"
"47684",2017-07-31,"Adoption","move"
"47685",2017-04-13,"Adoption","move"
"47685",2018-05-14,"Transfer","move"
"47688",2017-03-20,"Foster","move"
"47688",2017-04-26,"Adoption","move"
"47695",2017-03-31,"Adoption","move"
"47696",2017-04-07,"Adoption","move"
"47697",2017-04-21,"Adoption","move"
"47698",2017-03-26,"Foster","move"
"47698",2017-06-21,"Adoption","move"
"47701",2017-03-28,"Transfer","move"
"47702",2017-04-08,"Adoption","move"
"47703",2017-04-08,"Foster","move"
"47703",2017-05-03,"Adoption","move"
"47704",2017-04-12,"Adoption","move"
"47707",2017-04-06,"Foster","move"
"47707",2017-05-16,"Adoption","move"
"47708",2017-04-06,"Foster","move"
"47708",2017-05-23,"Adoption","move"
"47710",2017-04-02,"Reclaimed","move"
"47712",2017-03-31,"Adoption","move"
"47712",2017-08-19,"Adoption","move"
"47712",2018-03-30,"Reclaimed","move"
"47714",2017-05-20,"Adoption","move"
"47715",2017-05-11,"Foster","move"
"47715",2017-07-09,"Adoption","move"
"47717",2017-06-07,"Adoption","move"
"47717",2018-01-30,"Adoption","move"
"47718",2017-05-07,"Adoption","move"
"47718",2017-09-15,"Adoption","move"
"47721",2017-04-05,"Adoption","move"
"47721",2017-06-29,"Adoption","move"
"47724",2017-04-04,"Foster","move"
"47724",2017-04-06,"Adoption","move"
"47724",2018-08-09,"Adoption","move"
"47725",2017-04-01,"Transfer","move"
"47727",2017-04-08,"Adoption","move"
"47727",2017-11-15,"Adoption","move"
"47728",2017-04-05,"Adoption","move"
"47730",2017-04-07,"Adoption","move"
"47733",2017-04-07,"Adoption","move"
"47735",2017-04-12,"Transfer","move"
"47736",2017-04-07,"Adoption","move"
"47737",2017-04-12,"Transfer","move"
"47738",2017-04-04,"Reclaimed","move"
"47740",2017-04-22,"Adoption","move"
"47741",2017-04-22,"Adoption","move"
"47742",2017-04-17,"Adoption","move"
"47744",2017-04-15,"Foster","move"
"47744",2017-05-27,"Adoption","move"
"47747",2017-03-29,"Foster","move"
"47747",2017-05-13,"Adoption","move"
"47748",2017-03-29,"Foster","move"
"47748",2017-05-08,"Adoption","move"
"47749",2017-04-22,"Foster","move"
"47749",2017-05-14,"Adoption","move"
"47750",2017-03-29,"Foster","move"
"47750",2017-05-08,"Adoption","move"
"47751",2017-03-29,"Foster","move"
"47751",2017-04-22,"Foster","move"
"47751",2017-05-09,"Adoption","move"
"47751",2020-01-18,"Adoption","move"
"47752",2017-03-29,"Foster","move"
"47752",2017-04-22,"Foster","move"
"47752",2017-05-16,"Adoption","move"
"47753",2017-03-29,"Foster","move"
"47753",2017-04-22,"Foster","move"
"47753",2017-05-10,"Adoption","move"
"47753",2018-07-23,"Adoption","move"
"47754",2017-03-29,"Foster","move"
"47754",2017-05-10,"Adoption","move"
"47755",2017-03-29,"Foster","move"
"47755",2017-04-22,"Foster","move"
"47755",2017-05-12,"Adoption","move"
"47756",2017-03-29,"Foster","move"
"47756",2017-04-21,"Foster","move"
"47756",2017-05-09,"Adoption","move"
"47757",2017-03-29,"Foster","move"
"47757",2017-05-09,"Adoption","move"
"47759",2017-04-22,"Foster","move"
"47759",2017-07-16,"Adoption","move"
"47760",2017-04-02,"Adoption","move"
"47762",2017-05-19,"Adoption","move"
"47763",2017-04-08,"Adoption","move"
"47764",2017-04-29,"Adoption","move"
"47765",2017-04-19,"Transfer","move"
"47766",2017-05-03,"Adoption","move"
"47766",2017-05-25,"Adoption","move"
"47767",2017-04-07,"Adoption","move"
"47768",2017-04-02,"Adoption","move"
"47769",2017-04-04,"Adoption","move"
"47770",2017-04-04,"Adoption","move"
"47770",2017-05-07,"Adoption","move"
"47771",2017-04-01,"Adoption","move"
"47771",2017-04-10,"Adoption","move"
"55297",2017-04-07,"Adoption","move"
"55297",2017-06-20,"Adoption","move"
"55297",2017-08-13,"Adoption","move"
"55298",2017-04-12,"Adoption","move"
"55299",2017-04-07,"Foster","move"
"55299",2017-04-25,"Foster","move"
"55299",2017-07-07,"Adoption","move"
"55300",2017-04-07,"Adoption","move"
"55301",2017-04-07,"Adoption","move"
"55301",2018-03-02,"Adoption","move"
"55301",2019-01-08,"Adoption","move"
"55302",2017-03-29,"Foster","move"
"55302",2017-04-15,"Foster","move"
"55302",2017-04-22,"Foster","move"
"55302",2017-04-28,"Adoption","move"
"55303",2017-04-27,"Foster","move"
"55303",2017-07-14,"Adoption","move"
"55304",2017-03-29,"Foster","move"
"55304",2017-04-15,"Foster","move"
"55304",2017-04-22,"Foster","move"
"55304",2017-04-28,"Adoption","move"
"55305",2017-03-29,"Foster","move"
