"id","date","movementdate","interaction","type","duration"
"30812",2018-05-29,2017-04-18,"Stray","return",0
"31469",2017-05-08,2013-03-30,"Incompatible with owner lifestyle","return",0
"46238",2017-07-23,2016-11-26,"Stray","return",0
"46238",2018-02-14,2017-08-09,"Stray","return",0
"46437",2017-04-07,2017-03-25,"Stray","return",0
"46437",2018-02-09,2017-04-07,"Incompatible with owner lifestyle","return",0
"47120",2017-05-13,2017-01-18,"Stray","return",0
"47146",2017-04-01,2017-03-31,"Stray","return",0
"47156",2017-04-07,2017-03-27,"Stray","return",0
"47156",2017-04-07,2017-04-07,"Stray","return",0
"47157",2017-04-07,2017-03-27,"Stray","return",0
"47198",2017-05-25,2017-02-03,"Stray","return",0
"47248",2017-06-02,2017-02-15,"Stray","return",0
"47290",2017-04-27,2017-03-29,"Stray","return",0
"47360",2017-04-22,2017-03-07,"Stray","return",0
"47360",2017-06-11,2017-04-25,"Stray","return",0
"47360",2017-06-13,2017-06-12,"Stray","return",0
"47402",2017-04-09,2017-03-21,"Stray","return",0
"47402",2017-05-03,2017-04-10,"Stray","return",0
"47414",2017-07-12,2017-04-15,"Rabies Monitoring","return",0
"47414",2017-08-22,2017-07-22,"Rabies Monitoring","return",0
"47429",2017-04-26,2017-03-05,"Stray","return",0
"47432",2017-04-17,2017-03-30,"Stray","return",0
"47502",2017-05-05,2017-04-08,"Marriage/Relationship split","return",0
"47558",2017-04-04,2017-03-29,"Incompatible with owner lifestyle","return",0
"47575",2017-04-15,2017-03-10,"Stray","return",0
"47575",2017-05-12,2017-04-15,"Incompatible with owner lifestyle","return",0
"47575",2017-05-15,2017-05-12,"Stray","return",0
"47575",2017-12-27,2017-05-16,"Moving","return",0
"47575",2018-10-05,2017-12-30,"Landlord issues","return",0
"47591",2017-05-22,2017-03-16,"Stray","return",0
"47613",2017-09-05,2017-04-02,"Stray","return",0
"47613",2017-09-05,2017-09-05,"Incompatible with owner lifestyle","return",0
"47627",2017-05-10,2017-04-06,"Stray","return",0
"47628",2017-05-17,2017-04-06,"Stray","return",0
"47629",2017-05-17,2017-04-06,"Stray","return",0
"47630",2017-04-18,2017-04-06,"Stray","return",0
"47630",2017-05-10,2017-04-18,"Stray","return",0
"47630",2017-06-15,2017-05-16,"Stray","return",0
"47631",2017-04-18,2017-04-06,"Stray","return",0
"47631",2017-05-10,2017-04-18,"Stray","return",0
"47632",2017-04-18,2017-04-06,"Stray","return",0
"47632",2017-05-10,2017-04-18,"Stray","return",0
"47633",2017-05-11,2017-04-06,"Stray","return",0
"47634",2017-05-02,2017-04-06,"Stray","return",0
"47635",2017-05-02,2017-04-06,"Stray","return",0
"47636",2017-05-02,2017-04-06,"Stray","return",0
"47637",2017-05-02,2017-04-06,"Stray","return",0
"47638",2017-04-24,2017-04-06,"Stray","return",0
"47639",2017-04-01,2017-03-31,"Incompatible with owner lifestyle","return",0
"47639",2019-03-09,2017-04-02,"Incompatible with owner lifestyle","return",0
"47639",2019-05-06,2019-03-22,"Incompatible with owner lifestyle","return",0
"47639",2019-06-12,2019-05-15,"Stray","return",0
"47665",2017-04-11,2017-04-08,"Incompatible with owner lifestyle","return",0
"47684",2017-05-21,2017-04-26,"Stray","return",0
"47684",2017-07-31,2017-07-27,"Stray","return",0
"47685",2018-05-10,2017-04-13,"Moving","return",0
"47688",2017-04-17,2017-03-20,"Stray","return",0
"47698",2017-05-15,2017-03-26,"Stray","return",0
"47703",2017-05-03,2017-04-08,"Stray","return",0
"47707",2017-05-10,2017-04-06,"Stray","return",0
"47708",2017-05-11,2017-04-06,"Stray","return",0
"47712",2017-08-01,2017-03-31,"Stray","return",0
"47712",2018-03-29,2017-08-19,"Stray","return",0
"47715",2017-07-06,2017-05-11,"Stray","return",0
"47717",2017-12-28,2017-06-07,"Police Assist","return",0
"47718",2017-08-21,2017-05-07,"Unsuitable Accommodation","return",0
"47721",2017-06-24,2017-04-05,"Incompatible with owner lifestyle","return",0
"47724",2017-04-05,2017-04-04,"Stray","return",0
"47724",2018-07-20,2017-04-06,"Unsuitable Accommodation","return",0
"47727",2017-11-03,2017-04-08,"Incompatible with owner lifestyle","return",0
"47744",2017-05-27,2017-04-15,"Stray","return",0
"47747",2017-04-21,2017-03-29,"Stray","return",0
"47748",2017-05-05,2017-03-29,"Stray","return",0
"47749",2017-05-10,2017-04-22,"Stray","return",0
"47750",2017-05-05,2017-03-29,"Stray","return",0
"47751",2017-04-21,2017-03-29,"Stray","return",0
"47751",2017-05-05,2017-04-22,"Stray","return",0
"47751",2019-12-20,2017-05-09,"Incompatible with owner lifestyle","return",0
"47752",2017-04-21,2017-03-29,"Stray","return",0
"47752",2017-05-10,2017-04-22,"Stray","return",0
"47753",2017-04-21,2017-03-29,"Stray","return",0
"47753",2017-05-10,2017-04-22,"Stray","return",0
"47753",2018-07-17,2017-05-10,"Moving","return",0
"47754",2017-05-05,2017-03-29,"Stray","return",0
"47755",2017-04-21,2017-03-29,"Stray","return",0
"47755",2017-05-10,2017-04-22,"Stray","return",0
"47756",2017-04-21,2017-03-29,"Stray","return",0
"47756",2017-05-05,2017-04-21,"Stray","return",0
"47757",2017-05-05,2017-03-29,"Stray","return",0
"47759",2017-05-30,2017-04-22,"Stray","return",0
"47766",2017-05-15,2017-05-03,"Moving","return",0
"47770",2017-05-02,2017-04-04,"Stray","return",0
"47771",2017-04-06,2017-04-01,"Incompatible with owner lifestyle","return",0
"55297",2017-05-22,2017-04-07,"Allergies","return",0
"55297",2017-07-19,2017-06-20,"Unable to Afford","return",0
"55299",2017-04-21,2017-04-07,"Stray","return",0
"55299",2017-06-06,2017-04-25,"Stray","return",0
