"id","intakedate","movementdate","returndate","returnedreason"
"30812",2013-01-11,2017-04-18,2018-05-29,"Stray"
"31469",2013-03-26,2013-03-30,2017-05-08,"Incompatible with owner lifestyle"
"46238",2016-10-09,2016-11-26,2017-07-23,"Stray"
"46238",2016-10-09,2017-08-09,2018-02-14,"Stray"
"46437",2016-10-26,2017-03-25,2017-04-07,"Stray"
"46437",2016-10-26,2017-04-07,2018-02-09,"Incompatible with owner lifestyle"
"47120",2017-01-11,2017-01-18,2017-05-13,"Stray"
"47146",2017-01-17,2017-03-31,2017-04-01,"Stray"
"47156",2017-01-17,2017-03-27,2017-04-07,"Stray"
"47156",2017-01-17,2017-04-07,2017-04-07,"Stray"
"47157",2017-01-17,2017-03-27,2017-04-07,"Stray"
"47198",2017-01-22,2017-02-03,2017-05-25,"Stray"
"47248",2017-01-27,2017-02-15,2017-06-02,"Stray"
"47290",2017-02-01,2017-03-29,2017-04-27,"Stray"
"47360",2017-02-11,2017-03-07,2017-04-22,"Stray"
"47360",2017-02-11,2017-04-25,2017-06-11,"Stray"
"47360",2017-02-11,2017-06-12,2017-06-13,"Stray"
"47402",2017-02-14,2017-03-21,2017-04-09,"Stray"
"47402",2017-02-14,2017-04-10,2017-05-03,"Stray"
"47414",2017-02-16,2017-04-15,2017-07-12,"Rabies Monitoring"
"47414",2017-02-16,2017-07-22,2017-08-22,"Rabies Monitoring"
"47429",2017-02-18,2017-03-05,2017-04-26,"Stray"
"47432",2017-02-18,2017-03-30,2017-04-17,"Stray"
"47502",2017-02-27,2017-04-08,2017-05-05,"Marriage/Relationship split"
"47558",2017-03-06,2017-03-29,2017-04-04,"Incompatible with owner lifestyle"
"47575",2017-03-07,2017-03-10,2017-04-15,"Stray"
"47575",2017-03-07,2017-04-15,2017-05-12,"Incompatible with owner lifestyle"
"47575",2017-03-07,2017-05-12,2017-05-15,"Stray"
"47575",2017-03-07,2017-05-16,2017-12-27,"Moving"
"47575",2017-03-07,2017-12-30,2018-10-05,"Landlord issues"
"47591",2017-03-09,2017-03-16,2017-05-22,"Stray"
"47613",2017-03-10,2017-04-02,2017-09-05,"Stray"
"47613",2017-03-10,2017-09-05,2017-09-05,"Incompatible with owner lifestyle"
"47627",2017-03-11,2017-04-06,2017-05-10,"Stray"
"47628",2017-03-11,2017-04-06,2017-05-17,"Stray"
"47629",2017-03-11,2017-04-06,2017-05-17,"Stray"
"47630",2017-03-11,2017-04-06,2017-04-18,"Stray"
"47630",2017-03-11,2017-04-18,2017-05-10,"Stray"
"47630",2017-03-11,2017-05-16,2017-06-15,"Stray"
"47631",2017-03-11,2017-04-06,2017-04-18,"Stray"
"47631",2017-03-11,2017-04-18,2017-05-10,"Stray"
"47632",2017-03-11,2017-04-06,2017-04-18,"Stray"
"47632",2017-03-11,2017-04-18,2017-05-10,"Stray"
"47633",2017-03-11,2017-04-06,2017-05-11,"Stray"
"47634",2017-03-11,2017-04-06,2017-05-02,"Stray"
"47635",2017-03-11,2017-04-06,2017-05-02,"Stray"
"47636",2017-03-11,2017-04-06,2017-05-02,"Stray"
"47637",2017-03-11,2017-04-06,2017-05-02,"Stray"
"47638",2017-03-11,2017-04-06,2017-04-24,"Stray"
"47639",2017-03-11,2017-03-31,2017-04-01,"Incompatible with owner lifestyle"
"47639",2017-03-11,2017-04-02,2019-03-09,"Incompatible with owner lifestyle"
